	NC_pcr003	NC_pcr001	NC_pcr002
Zotu818	0	0	0
Zotu915	0	0	0
Zotu793	0	0	0
Zotu1023	0	0	0
Zotu1015	0	0	0
Zotu1090	0	0	0
Zotu690	0	0	0
Zotu949	0	0	0
Zotu120	0	0	0
Zotu597	0	0	0
Zotu1087	0	0	0
Zotu703	0	0	0
Zotu1069	0	0	0
Zotu615	0	0	0
Zotu867	0	0	0
Zotu969	0	0	0
Zotu982	0	0	0
Zotu879	0	0	0
Zotu63	0	0	0
Zotu205	0	0	0
Zotu141	0	0	0
Zotu142	0	0	0
Zotu210	0	0	0
Zotu1127	0	0	0
Zotu1128	0	0	0
Zotu971	0	0	0
Zotu46	0	0	0
Zotu249	0	0	0
Zotu652	0	0	0
Zotu525	0	0	0
Zotu377	0	0	0
Zotu817	0	0	0
Zotu124	0	0	0
Zotu1043	0	0	0
Zotu1050	0	0	0
Zotu194	0	0	0
Zotu536	0	0	1
Zotu1053	0	0	0
Zotu495	0	0	0
Zotu576	0	0	0
Zotu438	0	0	0
Zotu533	0	0	0
Zotu829	0	0	0
Zotu1051	0	0	0
Zotu682	0	0	0
Zotu1060	0	0	0
Zotu786	0	0	0
Zotu892	0	0	0
Zotu182	0	0	0
Zotu198	0	0	0
Zotu262	0	0	0
Zotu399	0	0	0
Zotu725	0	0	0
Zotu1066	0	0	0
Zotu620	0	0	0
Zotu694	0	0	0
Zotu65	0	0	0
Zotu888	0	0	0
Zotu190	0	0	0
Zotu1112	0	0	0
Zotu91	0	0	0
Zotu765	0	0	0
Zotu608	0	0	0
Zotu686	0	0	0
Zotu600	0	0	0
Zotu959	0	0	0
Zotu1130	0	0	0
Zotu601	0	0	0
Zotu374	0	0	0
Zotu75	0	0	0
Zotu449	0	0	0
Zotu559	0	0	0
Zotu487	0	0	0
Zotu836	0	0	0
Zotu177	0	0	0
Zotu228	0	0	0
Zotu512	0	0	0
Zotu571	0	0	0
Zotu654	0	0	0
Zotu365	0	0	0
Zotu962	0	0	0
Zotu752	0	0	0
Zotu1058	0	0	0
Zotu1082	0	0	0
Zotu531	0	0	0
Zotu923	0	0	0
Zotu1046	0	0	0
Zotu865	0	0	0
Zotu789	0	0	0
Zotu672	0	0	0
Zotu144	0	0	0
Zotu924	0	0	0
Zotu542	0	0	0
Zotu671	0	0	0
Zotu903	0	0	0
Zotu650	0	0	0
Zotu1108	0	0	0
Zotu1107	0	0	0
Zotu653	0	0	0
Zotu271	0	0	0
Zotu237	0	0	0
Zotu420	0	0	0
Zotu528	0	0	0
Zotu243	0	0	0
Zotu929	0	0	0
Zotu769	0	0	0
Zotu1122	0	0	0
Zotu816	0	0	0
Zotu623	0	0	0
Zotu450	0	0	0
Zotu809	0	0	0
Zotu553	0	0	0
Zotu673	0	0	0
Zotu869	0	0	0
Zotu362	0	0	0
Zotu594	0	0	0
Zotu726	0	0	0
Zotu1036	0	0	0
Zotu384	0	0	0
Zotu1022	0	0	0
Zotu1001	0	0	0
Zotu556	0	0	0
Zotu455	0	0	0
Zotu66	0	0	0
Zotu491	0	0	0
Zotu1092	0	0	0
Zotu509	0	0	0
Zotu916	0	0	0
Zotu306	0	0	0
Zotu206	0	0	0
Zotu711	0	0	0
Zotu261	0	0	0
Zotu393	0	0	0
Zotu997	0	0	0
Zotu1034	0	0	0
Zotu357	0	0	0
Zotu681	0	0	0
Zotu717	0	0	0
Zotu714	0	0	0
Zotu819	0	0	0
Zotu810	0	0	0
Zotu952	0	0	0
Zotu1004	0	0	0
Zotu155	0	58	10
Zotu634	0	0	0
Zotu1157	0	0	0
Zotu632	0	0	0
Zotu1105	0	0	0
Zotu283	0	1	0
Zotu150	0	0	0
Zotu471	0	1	0
Zotu1102	0	0	0
Zotu657	0	0	0
Zotu749	0	0	0
Zotu38	0	0	0
Zotu26	0	0	0
Zotu111	0	0	0
Zotu361	0	0	0
Zotu493	0	0	0
Zotu1174	0	0	0
Zotu1165	0	0	0
Zotu505	0	0	0
Zotu518	0	0	1
Zotu963	0	0	0
Zotu966	0	0	0
Zotu977	0	0	0
Zotu517	0	0	0
Zotu824	0	0	1
Zotu1137	0	1	0
Zotu1160	0	0	0
Zotu729	0	0	0
Zotu137	0	80	0
Zotu927	0	0	0
